Competencia;Clase
Desarrollar y revisar planes y estrategias financieras, ejecutar órdenes de compra y venta, y negociar la compra y venta de productos básicos;Instrumentales
Desarrollar y revisar políticas, programas y procedimientos relativos a las relaciones con los clientes y los bienes y servicios prestados;Interpersonales
Desarrollar, aplicar y controlar los procedimientos, políticas y normas de rendimiento del personal médico, de enfermería, técnico y administrativo;Específicas
Desarrollar, aplicar y evaluar programas de contratación, formación y desarrollo del personal;Específicas
Desarrollar, aplicar y mantener normas y protocolos para la medición de fenómenos físicos y para el uso de la tecnología nuclear en aplicaciones industriales y médicas;Instrumentales
Desarrollar, aplicar y supervisar planes estratégicos, programas, políticas, procesos, sistemas y procedimientos para alcanzar metas, objetivos y normas de trabajo;Específicas
Desarrollar, aplicar y supervisar procedimientos, políticas y normas de rendimiento para el personal de enfermería, de atención personal, técnico y administrativo;Interpersonales
Desarrollar, aplicar y supervisar procedimientos, políticas y normas para el personal;Específicas
Desarrollar, coordinar, implementar y monitorear medidas de seguridad;Instrumentales
Desarrollar, dirigir, administrar y participar en la investigación y el análisis de políticas;Interpersonales
Desarrollo e implementación de planes de seguridad, política de administración de datos, documentación y normas;Instrumentales
Desarrollo y aplicación de programas y servicios para satisfacer las necesidades de los clientes;Interpersonales
Desempeñar funciones ceremoniales y representar a la empresa, gobierno, organización o comunidad en actos oficiales y en reuniones, negociaciones, convenciones y audiencias públicas;Interpersonales
Determinación de formas de reforzar o combinar materiales o de desarrollar nuevos materiales.  reproducir y sintetizar sustancias naturales y crear nuevas sustancias artificiales;Sistémicas
Determinación y dirección de actividades de venta, combinación de productos, normas de servicio al cliente y métodos de comercialización y política de distribución;Instrumentales
Determinar el lugar de perforación e idear métodos para controlar el flujo de agua, petróleo o gas de los pozos;Instrumentales
Determinar la calidad o el valor de materias primas, bienes inmuebles, equipos industriales, efectos personales y domésticos, obras de arte, piedras preciosas y otros objetos;Específicas
Determinar la combinación de productos, los niveles de existencias y las normas de servicio;Instrumentales
Determinar la composición de la imagen, realizar ajustes técnicos en el equipo y fotografiar al sujeto;Instrumentales
Determinar la ubicación y planificar la extracción de carbón, minerales metálicos, minerales no metálicos y materiales de construcción, como piedra y grava;Interpersonales
Determinar listas de precios, condiciones de descuento y entrega, presupuestos de promoción de ventas, métodos de venta, incentivos especiales y campañas;Específicas
Determinar los derechos y obligaciones de las partes implicadas y, en los casos juzgados por jurado;Sistémicas
Determinar los métodos de fabricación de los sistemas eléctricos, así como el mantenimiento y la reparación de los sistemas eléctricos, motores y equipos existentes;Sistémicas
Determinar los métodos más adecuados de minería y extracción eficientes y los tipos de maquinaria que deben utilizarse, planificar el trazado y dirigir la construcción de pozos y túneles;Específicas
Determinar los objetivos y las limitaciones del encargo de diseño consultando con los clientes y las partes interesadas;Interpersonales
Determinar los objetivos, estrategias, políticas y programas de la empresa u organización;Específicas
Determinar los precios a los que deben sindicarse los valores y ofrecerse al público;Específicas
Determinar los programas educativos basándose en los marcos establecidos por las autoridades educativas y los órganos de gobierno;Específicas
Determinar o negociar las condiciones contractuales, adjudicar contratos a proveedores o recomendar la adjudicación de contratos para la compra de equipos, materias primas, productos, servicios y mercancías para la reventa;Sistémicas
Determinar objetivos, estrategias, políticas y programas para la empresa u organización;Específicas
Determinar y dirigir las actividades de venta, la combinación de productos, las normas de servicio al cliente;Interpersonales
Determinar y especificar métodos de construcción, materiales y normas de calidad, y dirigir los trabajos de construcción;Específicas
Determinar, aplicar y supervisar las estrategias, políticas y planes de compra, almacenamiento y distribución;Específicas
Determinar, aplicar y supervisar las estrategias, políticas y planes de producción;Específicas
Determinar, mediante una investigación, las causas de cualquier fallecimiento que no se deba evidentemente a causas naturales;Sistémicas
Diagnosticar problemas de hardware y software;Sistémicas
Diagnosticar y tratar enfermedades, lesiones y malformaciones de los dientes, la boca, los maxilares y los tejidos asociados;Instrumentales
Diagnosticar, gestionar y tratar trastornos físicos que afecten a la audición, la comunicación o la deglución humanas, o trastornos de los ojos y el sistema visual;Específicas
Dictar sentencia sobre las personas condenadas en causas penales, determinar los daños y perjuicios u otra reparación adecuada en causas civiles y dictar órdenes judiciales;Interpersonales
Dirección del desarrollo de iniciativas para nuevos productos o investigación científica;Sistémicas
Dirección y coordinación de la asignación de recursos;Básicas
Dirigir el desarrollo de iniciativas para nuevos productos, campañas de marketing, relaciones públicas y publicidad;Específicas
Dirigir el mantenimiento de los edificios y equipos de las instalaciones y coordinar las necesidades de nuevos diseños, estudios y programas de mantenimiento;Específicas
Dirigir la programación de programas informáticos y la elaboración de documentación;Instrumentales
Dirigir la selección e instalación de recursos de tic y la formación de los usuarios;Instrumentales
Dirigir la selección e instalación de recursos de tic y la formación de usuarios;Instrumentales
Dirigir las actividades administrativas y de oficina relacionadas con la admisión de alumnos y los servicios educativos;Específicas
Dirigir las operaciones de tic, analizando el flujo de trabajo, estableciendo prioridades, elaborando normas y fijando plazos;Instrumentales
Dirigir o llevar a cabo el reclutamiento, la contratación y la formación del personal;Básicas
Dirigir o llevar a cabo la clasificación y catalogación de colecciones de museos y galerías de arte y organizar exposiciones;Instrumentales
Dirigir o llevar a cabo la preparación de índices, bibliografías, copias en microfilm y otras ayudas de referencia del material recopilado y ponerlos a disposición de los usuarios;Instrumentales
Dirigir o llevar a cabo la selección, contratación y formación del personal;Interpersonales
Dirigir operaciones de tic, analizar el flujo de trabajo, establecer prioridades, desarrollar normas y fijar plazos;Específicas
Dirigir todos los aspectos de las producciones dramáticas en el escenario, la televisión, la radio o el cine, incluida la elección de los actores y las decisiones finales relativas al vestuario, la escenografía y los efectos de sonido o iluminación;Específicas
Dirigir y coordinar actividades como la plantación, el riego, la aplicación de productos químicos, la cosecha y la clasificación;Específicas
Dirigir y gestionar las actividades del personal de desarrollo de políticas y planificación estratégica;Interpersonales
Dirigir y gestionar las actividades del personal de investigación y desarrollo;Interpersonales
Dirigir y gestionar las actividades del personal de publicidad y relaciones públicas;Interpersonales
Dirigir y gestionar las actividades del personal de ventas y marketing;Interpersonales
Dirigir y organizar exámenes de las poblaciones acuícolas o pesqueras para identificar enfermedades o parásitos;Específicas
Dirigir y supervisar a los cuidadores de niños en la prestación de cuidados y supervisión a los niños pequeños;Sistémicas
Dirigir y supervisar el traslado de peces maduros a lagos, estanques, arroyos o tanques comerciales;Interpersonales
Dirigir y supervisar las actividades de reserva, recepción, servicio de habitaciones y limpieza;Sistémicas
Dirigir, gestionar y desarrollar al personal administrativo para garantizar el buen funcionamiento de la empresa y el suministro de información precisa y oportuna;Interpersonales
Dirigir, supervisar y evaluar las actividades laborales del personal médico, de enfermería , técnico, administrativo, de servicios, de mantenimiento y de otro tipo;Específicas
Dirigir, supervisar y evaluar las actividades laborales del personal médico, de enfermería, técnico, administrativo, de servicios, de mantenimiento y de otro tipo;Específicas
Dirigir, supervisar y evaluar las actividades laborales del personal profesional técnico, administrativo, de servicios, de mantenimiento y de otro tipo;Específicas
Discutir con los empresarios las cualificaciones y otras características requeridas de los trabajadores que se van a emplear o contratar;Específicas
Discutir las necesidades de compra o venta de los clientes y asesorar en consecuencia;Instrumentales
Diseñar circuitos y componentes electrónicos para su uso en campos como la orientación y el control de la propulsión aeroespacial, la acústica o los instrumentos y controles;Sistémicas
Diseñar dispositivos utilizados en diversos procedimientos médicos y sistemas de obtención de imágenes, como la resonancia magnética, y dispositivos para automatizar las inyecciones de insulina o controlar las funciones corporales;Instrumentales
Diseñar el equipo de la planta química e idear procesos para la fabricación de sustancias químicas y productos;Instrumentales
Diseñar redes de telecomunicaciones y sistemas de distribución de radio y televisión, tanto por cable como por aire;Instrumentales
Diseñar y desarrollar algoritmos de procesamiento de señales e implementarlos mediante la elección adecuada de hardware y software;Instrumentales
Diseñar y desarrollar animaciones digitales, imágenes, presentaciones, juegos, clips de audio y vídeo y aplicaciones de internet utilizando software multimedia, herramientas y utilidades, gráficos interactivos y lenguajes de programación;Específicas
Diseñar y desarrollar arquitecturas de bases de datos y sistemas de gestión de bases de datos;Específicas
Diseñar y desarrollar equipos nucleares, como núcleos de reactores, blindajes contra radiaciones e instrumentación y mecanismos de control asociados;Instrumentales
Diseñar y desarrollar la arquitectura de bases de datos, estructuras de datos, tablas, diccionarios y convenciones de nomenclatura para proyectos de sistemas de información;Instrumentales
Diseñar y poner en funcionamiento planes de pensiones y sistemas de seguros de vida, salud, sociales y de otros tipos;Específicas
Diseñar y preparar planos de circuitos de acuerdo con las especificaciones dadas;Instrumentales
Diseñar y supervisar el desarrollo de sistemas, procesos y equipos para el control, la gestión o la remediación de la calidad del agua, el aire o el suelo;Sistémicas
Diseñar y supervisar la construcción y el funcionamiento de reactores y centrales nucleares, así como de sistemas de reprocesamiento y recuperación de combustibles nucleares;Sistémicas
Diseñar, compilar y revisar mapas y cartas utilizando fotografías aéreas y de otros tipos, imágenes de satélite, documentos y datos de levantamientos, mapas y registros existentes, informes y estadísticas;Instrumentales
Diseñar, construir, modificar, integrar, implementar y probar sistemas de gestión de bases de datos;Específicas
Diseñar, coordinar, programar y dirigir programas de formación y desarrollo que puedan impartirse en forma de instrucción individual y en grupo, y facilitar talleres, reuniones, demostraciones y conferencias;Sistémicas
Diseñar, desarrollar e integrar código informático con otras aportaciones especializadas, como archivos de imagen, archivos de audio y lenguajes de programación, para producir, mantener y dar soporte a sitios web;Específicas
Diseñar, escribir, probar y mantener programas informáticos para requisitos específicos;Instrumentales
Diseñar, redactar, probar y mantener programas informáticos;Específicas
Diseño , ensayo y coordinación del desarrollo de material de artillería explosiva para cumplir las especificaciones de las adquisiciones militares;Básicas
Diseño de componentes de instrumentos ópticos como lentes, microscopios, telescopios, láseres, sistemas de discos ópticos y otros equipos que utilicen las propiedades de la luz;Instrumentales
Diseño de menús y supervisión de la preparación de alimentos;Sistémicas
Diseño y desarrollo de arquitectura de bases de datos, estructuras de datos, diccionarios y convenciones de nomenclatura para proyectos de sistemas de información;Instrumentales
Diseño y disposición del mobiliario de exposiciones, vitrinas y zonas de exposición;Sistémicas
Diseño, adaptación, mantenimiento y reparación de dispositivos y aparatos médicos y dentales;Básicas
Diseño, ajuste, mantenimiento y reparación de dispositivos y aparatos médicos y dentales;Sistémicas
Diseño, construcción, modificación, integración, implementación y prueba de sistemas de gestión de bases de datos;Instrumentales
Documentar procedimientos judiciales y sentencias;Interpersonales
Ejecutar algunas tareas religiosas. puede incluir la supervisión de otros trabajadores;Específicas
Ejecutar trabajos de imprenta;Sistémicas
Ejecutar, analizar y documentar los resultados de las pruebas de aplicaciones de software y de los sistemas de información y telecomunicaciones;Sistémicas
El asesoramiento o la aplicación de medidas preventivas y curativas, o la promoción de la salud;Específicas
Elaboración de cartas y mapas para su uso en la determinación de aguas y canales navegables y en la planificación de la construcción de estructuras marinas;Interpersonales
Elaborar informes y propuestas como parte de la presentación de ventas para demostrar los beneficios derivados del uso de bienes o servicios;Sistémicas
Elaborar y aplicar planes de tratamiento y evaluar y documentar los progresos de los pacientes;Específicas
Elegir a los guionistas, estudiar los guiones para determinar la interpretación artística e instruir a los actores en los métodos de actuación;Sistémicas
Emisión de billetes, tarjetas de embarque y vales;Sistémicas
Empalme de cables de telecomunicaciones y de datos, y fundas de sellado;Instrumentales
Emprender investigaciones y analizar requisitos funcionales, espaciales, comerciales, culturales, de seguridad, medioambientales y estéticos;Sistémicas
Emprender la investigación y el desarrollo de sistemas de medición topográfica y fotogramétrica, sistemas catastrales y sistemas de información territorial;Sistémicas
Emprender y llevar a cabo trabajos técnicos relacionados con la investigación y la aplicación de conceptos y métodos operativos en los campos de las ciencias físicas, incluidas la ingeniería y la tecnología, las ciencias de la vida, incluida la profesión médica, y las ciencias sociales y humanidades;Específicas
Encargar y obtener fotografías y otro material ilustrativo;Sistémicas
Encargar y realizar estudios de mercado para identificar oportunidades de mercado para bienes y servicios nuevos y existentes;Específicas
Encargar y realizar estudios de mercado, analizar los resultados y planificar actividades de publicidad, marketing y relaciones públicas;Específicas
Encontrar espacio de carga y/o almacenamiento para materias primas y negociar los gastos de flete, transporte y almacenamiento;Específicas
Encontrar trabajadores con las cualificaciones adecuadas y realizar los trámites necesarios según las normativas y requisitos nacionales o internacionales;Específicas
Encontrar trabajadores para los puestos vacantes a cambio de una comisión del empresario o del trabajador;Interpersonales
Encontrar trabajadores para puestos vacantes para empresarios;Interpersonales
Encriptar las transmisiones de datos y erigir cortafuegos para ocultar la información confidencial mientras se transmite y mantener fuera las transferencias digitales contaminadas;Instrumentales
Enlace y consulta con los administradores de los programas y otras partes interesadas para identificar las necesidades políticas;Interpersonales
Enseñar la teoría y la práctica de una o más disciplinas en distintos niveles educativos;Específicas
Enseñar y educar a personas con dificultades de aprendizaje o necesidades especiales;Interpersonales
Entrevistar a los clientes para determinar su situación y objetivos financieros, tolerancia al riesgo y otra información necesaria para desarrollar planes financieros y estrategias de inversión;Interpersonales
Entrevistar a los encuestados;Interpersonales
Entrevistar a los encuestados y a los solicitantes de elegibilidad;Instrumentales
Entrevistar a los proveedores y negociar precios, descuentos, condiciones de crédito y acuerdos de transporte;Específicas
Entrevistar a los solicitantes de préstamos personales, hipotecarios, estudiantiles y empresariales;Específicas
Entrevistar a los solicitantes de servicios;Sistémicas
Entrevistar a pacientes para cumplimentar formularios, documentos e historias clínicas;Instrumentales
Enviar por correo, fax u organizar la entrega de correspondencia legal a clientes, testigos y funcionarios judiciales;Interpersonales
Equipos de control para editar y mezclar imágenes y grabaciones de sonido para garantizar una calidad satisfactoria y crear efectos especiales de imagen y sonido;Sistémicas
Equipos de control para grabar sonido;Instrumentales
Escalar postes o usar baldes montados en camiones para acceder al equipo;Instrumentales
Escanear, registrar y distribuir correo, correspondencia y documentos;Específicas
Escaneo, registro y distribución de correo, correspondencia y documentos;Instrumentales
Escribir y mantener el código del programa descrito en las instrucciones y especificaciones de acuerdo con las normas de calidad acreditadas;Básicas
Especificación e interpretación de dibujos y planos, y determinación de los métodos de construcción;Sistémicas
Especificar la instalación eléctrica y su aplicación en edificios y objetos industriales y de otro tipo;Básicas
Especificar métodos de producción o instalación, materiales y normas de calidad, y dirigir los trabajos de producción o instalación de productos y sistemas electrónicos;Sistémicas
Especificar métodos de producción o instalación, materiales, normas de calidad y seguridad y dirigir los trabajos de producción o instalación de productos y sistemas de telecomunicaciones;Específicas
Especificar métodos de producción química, materiales y normas de calidad y garantizar que se ajustan a las especificaciones;Sistémicas
Establecer calendarios de entrega, supervisar el progreso y ponerse en contacto con clientes y proveedores para resolver problemas;Instrumentales
Establecer calendarios y procedimientos de trabajo y coordinar actividades con otras unidades o departamentos de trabajo;Específicas
Establecer contacto entre compradores y vendedores de materias primas;Interpersonales
Establecer los contactos necesarios para garantizar la viabilidad de los proyectos en cuanto a estilo, coste, plazos y cumplimiento de la normativa;Específicas
Establecer medidas de actividad y de rendición de cuentas;Específicas
Establecer normas de control para supervisar el rendimiento y la seguridad de los sistemas y equipos eléctricos, electrónicos y de telecomunicaciones;Sistémicas
Establecer normas y objetivos;Sistémicas
Establecer normas y políticas para la instalación, modificación, control de calidad, pruebas, inspección y mantenimiento de acuerdo con los principios de ingeniería y las normas de seguridad;Específicas
Establecer normas y procedimientos de control para garantizar el funcionamiento eficaz y la seguridad de máquinas, maquinaria, herramientas, motores, instalaciones industriales, equipos o sistemas;Sistémicas
Establecer normas y procedimientos de control para garantizar el funcionamiento eficaz y la seguridad de sistemas, motores y equipos electrónicos;Sistémicas
Establecer normas y procedimientos de control para garantizar la seguridad y la eficiencia de las operaciones de producción química y la seguridad de los trabajadores que manejan los equipos o de aquellos que trabajan cerca de las reacciones químicas en curso;Sistémicas
Establecer normas y procedimientos de control para supervisar el rendimiento y la seguridad de los sistemas de generación y distribución eléctrica, motores y equipos;Sistémicas
Establecer normas y procedimientos de seguridad e instalaciones de primeros auxilios, especialmente subterráneas;Sistémicas
Establecer objetivos de desarrollo de recursos humanos y evaluar los resultados del aprendizaje;Específicas
Establecer objetivos financieros, y desarrollar y aplicar estrategias para alcanzar los objetivos financieros;Específicas
Establecer objetivos para empresas, departamentos o agencias gubernamentales y otras organizaciones;Específicas
Establecer objetivos y criterios de evaluación u operativos para las unidades que gestionan;Sistémicas
Establecer objetivos y normas y formular y evaluar programas y políticas y procedimientos para su aplicación;Específicas
Establecer programas de medición del trabajo y analizar muestras de trabajo para desarrollar normas de utilización de la mano de obra;Específicas
Establecer sistemas de control para garantizar el funcionamiento eficaz de las estructuras, así como la seguridad y la protección del medio ambiente;Sistémicas
Establecer y dirigir los procedimientos operativos y administrativos;Específicas
Establecer y dirigir procedimientos operativos y administrativos;Específicas
Establecer y dirigir procedimientos operativos y administrativos relacionados con las actividades de ventas y marketing;Sistémicas
Establecer y gestionar los presupuestos, controlar los gastos y garantizar el uso eficiente de los recursos;Sistémicas
Establecer y gestionar presupuestos;Instrumentales
Establecer y gestionar presupuestos y controlar los gastos para garantizar el uso eficiente de los recursos;Sistémicas
Establecer y gestionar presupuestos y controlar los gastos y garantizar el uso eficiente de los recursos;Sistémicas
Establecer y gestionar presupuestos, controlar el gasto y garantizar el uso eficiente de los recursos;Sistémicas
Establecer y gestionar presupuestos, controlar la producción y los costes, registrar información como las prácticas de gestión de la explotación y la pesca, y preparar informes financieros y operativos;Sistémicas
Establecer y gestionar presupuestos, controlar los costes y ajustar las actividades, los procedimientos y los recursos para minimizar los costes;Sistémicas
Establecer y gestionar presupuestos, controlar los gastos y garantizar el uso eficiente de los recursos;Sistémicas
Establecer y gestionar presupuestos, supervisar la producción y los costes, registrar información como las prácticas de gestión de las explotaciones y preparar informes financieros y operativos;Sistémicas
Establecer y gestionar presupuestos, supervisar la producción y los costes, registrar información como las prácticas de gestión pesquera y preparar informes financieros y operativos;Sistémicas
Establecer y gestionar presupuestos, supervisar la producción y los costes, y ajustar los procesos y recursos para minimizar los costes;Sistémicas
Establecer y mantener relaciones con clientes particulares y empresariales;Interpersonales
Establecer y supervisar presupuestos y determinar la asignación de fondos para personal, suministros, materiales, equipamiento y mantenimiento;Instrumentales
Establecer, explotar y mantener redes y otros sistemas de comunicación de datos;Interpersonales
Establecimiento de normas y objetivos;Sistémicas
Establecimiento y gestión de presupuestos y control de gastos para garantizar el uso eficiente de los recursos;Sistémicas
Establecimiento y gestión de presupuestos, seguimiento de la producción y los costes, y ajuste de los procesos y recursos para minimizar los costes;Sistémicas
Establecimiento, operación y mantenimiento de redes y otros sistemas de comunicación de datos;Interpersonales
Estenografía, mecanografía y operación de procesadores de texto y otras máquinas de oficina;Instrumentales
Estimación de los costes totales y preparación de planes y estimaciones de costes detallados como herramientas para el control presupuestario;Interpersonales
Estimar el peso, tamaño y masa de la tierra y la composición y estructura de su interior, y estudiar la naturaleza, actividad y previsibilidad de volcanes, glaciares y terremotos;Específicas
Estimar los costes de instalación y mantenimiento de los equipos o servicios;Sistémicas
Estudiar guiones, obras de teatro o libros y preparar y ensayar la interpretación;Básicas
Estudiar informes de mercado, publicaciones periódicas comerciales y materiales de promoción de ventas y  visitar ferias, salas de exposición, fábricas y eventos de diseño de productos;Específicas
Estudiar la composición y estructura de la corteza terrestre, examinar rocas, minerales, fósiles y otros materiales para determinar los procesos que afectan al desarrollo de la tierra, trazar la evolución de la vida en el pasado, establecer la naturaleza y cronología de las formaciones geológicas y evaluar sus aplicaciones comerciales;Específicas
Estudiar las declaraciones funcionales, los organigramas y la información del proyecto para determinar las funciones y responsabilidades de los trabajadores y las unidades de trabajo e identificar las áreas de duplicación;Específicas
Estudiar los datos recogidos de las estaciones meteorológicas, las imágenes de radar y satélite y los resultados de los modelos informáticos para trazar y pronosticar las condiciones meteorológicas;Instrumentales
Estudiar los requisitos de un encargo concreto y decidir el tipo de cámara, película, iluminación y accesorios de fondo que se van a utilizar;Sistémicas
Estudiar material técnico como planos y bocetos para determinar el método de trabajo a adoptar;Instrumentales
Estudiar y analizar los puestos de trabajo desempeñados en un establecimiento por diversos medios, incluidas entrevistas con trabajadores, supervisores y directivos, y redactar descripciones detalladas de los puestos, empleos u ocupaciones a partir de la información obtenida  preparar información ocupacional o trabajar en sistemas de clasificación profesional;Específicas
Estudiar y asesorar a las personas sobre las oportunidades de empleo, las opciones profesionales y la educación o formación complementarias que puedan ser convenientes;Específicas
Estudiar y asesorar sobre aspectos de ingeniería de determinados procesos de fabricación, como los relacionados con el vidrio, la cerámica, los textiles, los productos de cuero, la madera y la impresión;Específicas
Estudiar y asesorar sobre aspectos tecnológicos de determinados materiales, productos y procesos, y sobre la eficiencia de la producción y la organización del trabajo;Específicas
Estudiar y asesorar sobre aspectos técnicos, estéticos y económicos de la producción cartográfica;Específicas
Estudiar y desarrollar métodos y políticas para mejorar y promover las operaciones y la eficacia de la administración y las empresas;Interpersonales
Estudiar y medir las propiedades físicas de los mares y la atmósfera y su interrelación, como el intercambio de energía térmica;Instrumentales
Estudiar, mejorar y desarrollar teorías y técnicas matemáticas, actuariales y estadísticas;Específicas
Evaluar a pacientes o clientes para determinar la naturaleza del trastorno, enfermedad o problema;Sistémicas
Evaluar conclusiones y desarrollar estrategias y argumentos como preparación para la presentación de casos;Instrumentales
Evaluar daños y proporcionar cálculos para operaciones de salvamento marítimo;Específicas
Evaluar el alcance de los daños o pérdidas y las responsabilidades de las compañías de seguros y suscriptores por pérdidas cubiertas por pólizas de seguros;Instrumentales
Evaluar el rendimiento laboral de los empleados y su conformidad con la normativa, y recomendar las medidas de personal adecuadas;Específicas
Evaluar el trabajo de los profesores y conferenciantes visitando las aulas, observando los métodos de enseñanza, revisando los objetivos pedagógicos y examinando el material didáctico;Específicas
Evaluar el uso y las necesidades tecnológicas de la organización y recomendar mejoras como actualizaciones de hardware y software;Instrumentales
Evaluar etiquetas, envases y publicidad de productos farmacéuticos;Interpersonales
Evaluar impactos, implicaciones financieras, interacciones con otros programas y viabilidad política y administrativa de las políticas;Interpersonales
Evaluar la eficiencia de los lugares de producción para determinar la adecuación del personal, el equipo y las tecnologías utilizadas, y realizar cambios en el programa de trabajo o el equipo cuando sea necesario;Específicas
Evaluar la estructura de las organizaciones y sugerir áreas de mejora;Sistémicas
Evaluar la situación financiera de la empresa u organización, preparar los presupuestos y supervisar las operaciones financieras;Instrumentales
Evaluar las necesidades de los clientes y explicarles y demostrarles los bienes y servicios;Sistémicas
Evaluar las necesidades de los clientes y explicarles y demostrarles los productos y servicios;Básicas
Evaluar las necesidades y recursos de los clientes y recomendar bienes o servicios adecuados;Sistémicas
Evaluar los resultados de investigaciones y experimentos y expresar conclusiones, principalmente mediante técnicas y modelos matemáticos;Específicas
Evaluar los resultados de investigaciones y experimentos y expresar conclusiones, principalmente utilizando técnicas y modelos matemáticos;Instrumentales
Evaluar o desarrollar y organizar el contenido de archivos y objetos de interés histórico, cultural y artístico, y garantizar su custodia y conservación;Interpersonales
Evaluar y comparar la calidad relativa de diversos valores en una industria determinada;Interpersonales
Evaluar y conservar registros con fines administrativos, históricos, jurídicos, probatorios y de otro tipo;Específicas
Evaluar y recomendar mejoras en las operaciones de red y en los sistemas integrados de hardware, software, comunicaciones y operativos;Interpersonales
Evaluar y revisar la satisfacción del cliente;Interpersonales
Evaluar y seleccionar el material presentado por escritores, fotógrafos, ilustradores y otros para crear una publicidad favorable;Instrumentales
Evaluar, desarrollar, actualizar y documentar procedimientos de mantenimiento de sistemas operativos, entornos de comunicaciones y aplicaciones informáticas;Específicas
Evaluar, planificar y diseñar configuraciones de hardware o software para aplicaciones específicas;Sistémicas
Evaluar, planificar y diseñar configuraciones de hardware o software para aplicaciones específicas, incluyendo para internet, intranet y sistemas multimedia;Instrumentales
Evaluar, planificar y diseñar sistemas de internet, intranet y multimedia;Sistémicas
Evaluar, planificar y ejecutar programas para reconocer, supervisar y controlar los factores ambientales que puedan afectar a la salud humana, mejorar o restablecer las funciones motoras humanas, maximizar la capacidad de movimiento, aliviar los síndromes de dolor o mejorar el impacto de la alimentación y la nutrición en la salud humana;Específicas
Evaluar, procesar, analizar e interpretar datos estadísticos y prepararlos para su publicación;Específicas
Examinar documentación como hipotecas, gravámenes, sentencias, servidumbres, contratos y mapas para verificar las descripciones legales y la titularidad de las propiedades;Instrumentales
Examinar e inspeccionar el progreso de los trabajos;Interpersonales
Examinar las solicitudes de reuniones o citas y ayudar a organizar las reuniones;Interpersonales
Examinar las solicitudes de reuniones, y programar y organizar reuniones y viajes;Interpersonales
Examinar los equipos y las obras de construcción para garantizar que se cumplen los requisitos de salud y seguridad;Sistémicas
Examinar planos, diagramas de cableado y especificaciones para determinar secuencias y métodos de operación;Sistémicas
Examinar solicitudes de reuniones o citas y ayudar a organizar reuniones;Interpersonales
Examinar solicitudes de reuniones, y programar y organizar reuniones;Instrumentales
Examinar y probar máquinas, equipos, instrumentos y sistemas de control para diagnosticar fallas;Instrumentales
Examinar y probar máquinas, instrumentos, componentes, sistemas de control y otros equipos electrónicos para identificar fallas;Instrumentales
Examinar y registrar las licencias y otros derechos de los funcionarios;Específicas
Examinar y registrar las licencias y otros derechos de los miembros del personal;Específicas
Examinar yacimientos o minas para evaluar su rentabilidad;Específicas
Examinar, evaluar y tramitar solicitudes de préstamos y seguros;Instrumentales
Explicar a los clientes los detalles del seguro y las condiciones, las primas de cobertura del riesgo y las prestaciones;Interpersonales
Explicar procedimientos, observar y colocar a los pacientes y utilizar dispositivos de protección para garantizar la seguridad y comodidad durante el examen, exploración o tratamiento;Específicas
Explicar y demostrar los productos y servicios a los clientes;Interpersonales
Fabricación de instrumentos de precisión, joyería, artículos para el hogar y otros artículos de metales preciosos, cerámica, vidrio y productos relacionados;Específicas
Fabricación de maquinaria, herramientas, equipos y otros artículos metálicos;Específicas
Facilitar información sobre diseños, materiales y plazos estimados de construcción;Instrumentales
Facilitar las negociaciones con inquilinos y propietarios sobre alquileres y honorarios;Específicas
Fijación de precios y acuerdos de crédito;Interpersonales
Fijar precios y acuerdos de crédito;Sistémicas
Filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents;Instrumentales
Firmar acuerdos en nombre del vendedor o del comprador y asegurarse de que se cumple el contrato;Instrumentales
Firmar y emitir conocimientos de embarque;Específicas
Formar a los usuarios y promover la concienciación sobre la seguridad para garantizar la seguridad del sistema y mejorar la eficiencia del servidor y de la red;Específicas
Formar e instruir a los empleados en las tareas laborales, los procedimientos de seguridad y las políticas de la empresa, u organizar la formación necesaria;Específicas
Formulación de políticas y planes para la prestación de servicios y el funcionamiento de los establecimientos;Específicas
Formulación y aplicación de políticas y planes de publicidad, relaciones públicas, desarrollo de productos, ventas y marketing en consulta con otros directivos;Interpersonales
Formular conceptos y planes de diseño que armonicen las consideraciones estéticas con los requisitos técnicos, funcionales, ecológicos y de producción;Instrumentales
Formular o aprobar y evaluar programas y políticas y procedimientos para su aplicación;Instrumentales
Formular y administrar el asesoramiento político y la planificación estratégica y financiera;Instrumentales
Formular y analizar opciones políticas, preparar documentos informativos y recomendaciones para cambios políticos, y asesorar sobre las opciones preferidas;Interpersonales
Formular y aplicar las políticas de compras y marketing, y fijar los precios;Instrumentales
Formular y asesorar sobre la política, los presupuestos, las leyes y los reglamentos de empresas, gobiernos y otras unidades organizativas;Específicas
Formular y asesorar sobre los presupuestos políticos, leyes y reglamentos de empresas, gobiernos y otras organizaciones;Específicas
Formular y dirigir estrategias, políticas y planes de tecnología de la información y la comunicación ti;Específicas
Formular y dirigir estrategias, políticas y planes de tecnologías de la información y la comunicación ti;Específicas
Fotocopiado y envío de documentos por fax;Instrumentales
Fundición, soldadura y conformado de metales;Instrumentales
Garantizar el cumplimiento de la legislación sobre construcción y las normas de rendimiento, calidad, coste y seguridad;Sistémicas
Garantizar el cumplimiento de la legislación, los reglamentos y las normas pertinentes;Específicas
Garantizar el cumplimiento de la normativa sobre salud y seguridad en el trabajo;Instrumentales
